J210358-545337 21h03m58.4834s,-54d53m37.7772s 9351
J204704-553649 20h47m04.9126s,-55d36m49.9284s 9351
J204153-574458 20h41m53.8826s,-57d44m58.362s 9351
J203449-541239 20h34m49.0284s,-54d12m39.0924s 9351
J204135-562123 20h41m35.8289s,-56d21m23.4864s 9351
J204355-572004 20h43m55.1575s,-57d20m04.5132s 9351
J205038-565906 20h50m38.431s,-56d59m06.2808s 9351
J204023-562300 20h40m23.4341s,-56d23m00.15s 9351
J202500-545310 20h24m59.9618s,-54d53m10.9572s 9351
J202700-572946 20h27m00.4891s,-57d29m46.4388s 9351
J203944-575109 20h39m44.3861s,-57d51m09.2916s 9351
J205840-573709 20h58m40.5778s,-57d37m09.8544s 9351
J203054-581046 20h30m54.0149s,-58d10m46.6536s 9351
J202224-553203 20h22m24.4589s,-55d32m03.1344s 9351
J210146-544617 21h01m46.5398s,-54d46m17.6628s 9351
J210515-571319 21h05m15.289s,-57d13m19.2072s 9351
J202653-535633 20h26m53.1266s,-53d56m33.3708s 9351
J203944-543740 20h39m44.5507s,-54d37m40.5192s 9351
J204018-551618 20h40m18.0209s,-55d16m18.678s 9351
J201942-540818 20h19m42.4087s,-54d08m18.942s 9351
J203402-525850 20h34m02.1007s,-52d58m50.9232s 9351
J202615-561125 20h26m15.5611s,-56d11m25.3608s 9351
J203457-560318 20h34m57.797s,-56d03m18.036s 9351
J203316-544811 20h33m16.0951s,-54d48m11.2248s 9351
J210149-575645 21h01m49.0123s,-57d56m45.6936s 9351
J204751-564757 20h47m51.0139s,-56d47m57.5268s 9351
J202612-544728 20h26m12.1925s,-54d47m28.4496s 9351
